step,time,action,vETH,vNFT,fees,userid,oracle_price
41670408,1669567240,swap,0.0,0.0161513007668756,0.0029999999999999988,0x899b2d61a5943dd2452cbc9ff5d158c63a2275dd,63.98137810183117
41671147,1669567450,swap,1.232,0.0,0.003,0x99799dbb5a66b2ed2499524a741ab7911236db1c,63.98137810183117
41674968,1669568510,swap,0.0,0.0002352907558501,0.0029999999999999437,0xe2665c6b02ea68e0cf3ef1a74b88155ef10243a0,63.98137810183117
41678485,1669569526,swap,0.004,0.0,0.003,0x175a0cc46a5430c62f48368f5cba1c66b4b3d56d,63.98137810183117
41678614,1669569565,swap,0.0,6.2440191961831e-05,0.003,0x175a0cc46a5430c62f48368f5cba1c66b4b3d56d,63.98137810183117
41681491,1669570431,swap,1.5342,0.0,0.003,0x5c7ca6a93a46ae786d99d91ed423a91d6fa13879,63.98137810183117
41682117,1669570625,swap,0.0,0.0239450578996686,0.003,0x5c7ca6a93a46ae786d99d91ed423a91d6fa13879,63.98137810183117
41685879,1669571816,swap,0.004,0.0,0.003,0xa50fb3604d027a6192b519ec5307fb36145f6afb,63.98137810183117
41688379,1669572638,swap,0.25,0.0,0.003,0x445c9da83c4211fa8829672785599dd8180ade7c,63.98137810183117
41688454,1669572663,swap,0.0,0.0039024070966097,0.002999999999999997,0x445c9da83c4211fa8829672785599dd8180ade7c,63.98137810183117
41693464,1669574306,swap,0.0001,0.0,0.003,0x77420e96f0e5f1dcfa8fcdd6ba6a3a9d3ad0c6c4,63.98137810183117
41706678,1669579037,swap,0.0,0.0006294330396961,0.002999999999999986,0xba85e7b5fc623014ccd394bbca960b1d8455faee,63.98137810183117
41710996,1669580685,swap,0.0,0.0101927109064516,0.0029999999999999988,0x42feec5c7e7d3c725864a2716ca357fa9993ccc0,63.98137810183117
41711070,1669580707,swap,0.602721324191666,0.0,0.003,0xd4efa01df2a38837bf344a9e3255ddb635c4fb2a,63.98137810183117
41711153,1669580732,swap,0.0,0.0163092022556233,0.003,0xd138a2386ffd3b0a1a8f20db83760a7aefcd07c6,63.98137810183117
41711194,1669580744,swap,0.4419323501224985,0.0,0.0029999999999999988,0xbe14d4460f4ac2a2d17010e0544ae33ef581e2e4,63.98137810183117
41711219,1669580755,swap,0.6529079320767419,0.0,0.0029999999999999988,0x088af1da6d021ddc79e4fe826f0fdcd05ea0127f,63.98137810183117
41722100,1669584545,swap,0.2,0.0,0.003,0x5d47e5d242a8f66a6286b0a2353868875f5d6068,63.98137810183117
41725832,1669585925,swap,0.0498504,0.0,0.003,0xe3167009ff99d45183da7aa9cd2d29dc18f4f5f2,63.98137810183117
41726122,1669586039,swap,0.0,0.0007781363856707,0.00299999999999998,0xe3167009ff99d45183da7aa9cd2d29dc18f4f5f2,63.98137810183117
41729053,1669587151,swap,0.0,0.0171210935505102,0.003,0x3dd48ad861f0b77d1312f9c95a13e52871ca95e0,63.98137810183117
41731111,1669587967,swap,0.5,0.0,0.003,0xb3ce890ccbb9e8d893eea977b7e98e97c0645607,63.98137810183117
41731278,1669588050,swap,0.0,0.0039030778253757,0.003,0xb3ce890ccbb9e8d893eea977b7e98e97c0645607,63.98137810183117
41731446,1669588126,swap,0.0,0.0039030778253757,0.002999999999999996,0xb3ce890ccbb9e8d893eea977b7e98e97c0645607,63.98137810183117
41731572,1669588193,swap,0.024491,0.0,0.003,0xc67ac968ecc37d706607f5ab0c3476a1c8343aa9,63.98137810183117
41733330,1669588991,swap,0.5465612,0.0,0.003,0xe3167009ff99d45183da7aa9cd2d29dc18f4f5f2,63.98137810183117
41733815,1669589225,swap,0.0,0.0085329973135163,0.0029999999999999983,0xe3167009ff99d45183da7aa9cd2d29dc18f4f5f2,63.98137810183117
41740879,1669592144,swap,0.0,0.0017172882238572,0.002999999999999991,0xf1cd2ff3d38257abe3e9d47c572037b70b972555,63.98137810183117
41749080,1669595665,swap,0.01,0.0,0.003,0xce485e854ef129d13dc1e25d103412bd25e97904,63.98137810183117
41750213,1669596186,swap,0.0301131,0.0,0.003,0x1c0ec596303ce6666f5a4d24c29e78cf881cb5d3,63.98137810183117
41750303,1669596221,swap,1.25,0.0,0.003,0x44990d2baebc1917796ac59097bc089a417582ec,63.98137810183117
41755719,1669598457,swap,0.0,0.0062439271054778,0.003,0xa6ee8ded46c173e43f84f02cdfc95cfcb2b12a2a,63.98137810183117
41770311,1669603268,swap,0.0,0.0070625865589724,0.002999999999999997,0xf6aa21404f079e8b8e142e91fd408a86713dc087,63.98137810183117
41771837,1669603770,swap,0.0,0.0015543341150169,0.002999999999999996,0x09187ebd7d6018e2a871ca5c4868cddbd498738a,63.98137810183117
41783504,1669607706,swap,0.154,0.0,0.003,0xacb05e98b8a244bfa8bc93b86c250695abd51648,63.98137810183117
41783705,1669607790,swap,0.0,0.0024042554021184,0.003,0xacb05e98b8a244bfa8bc93b86c250695abd51648,63.98137810183117
41783935,1669607891,swap,0.0,0.0023731081617621,0.003,0xacb05e98b8a244bfa8bc93b86c250695abd51648,63.98137810183117
41784091,1669607963,swap,0.152,0.0,0.003,0xacb05e98b8a244bfa8bc93b86c250695abd51648,63.98137810183117
41784527,1669608143,swap,0.0,0.0054645083099859,0.003,0xacb05e98b8a244bfa8bc93b86c250695abd51648,63.98137810183117
41784857,1669608271,swap,0.0,0.0192340337141195,0.003,0x99799dbb5a66b2ed2499524a741ab7911236db1c,63.98137810183117
41784996,1669608330,swap,0.3499087457494793,0.0,0.002999999999999997,0xacb05e98b8a244bfa8bc93b86c250695abd51648,63.98137810183117
41785275,1669608458,swap,0.0,0.005622108955348,0.003,0xacb05e98b8a244bfa8bc93b86c250695abd51648,63.98137810183117
41785808,1669608698,swap,0.36,0.0,0.003,0xacb05e98b8a244bfa8bc93b86c250695abd51648,63.98137810183117
41786304,1669608893,swap,0.0,0.0054659334760944,0.003,0xacb05e98b8a244bfa8bc93b86c250695abd51648,63.98137810183117
41786615,1669609037,swap,0.35,0.0,0.003,0xacb05e98b8a244bfa8bc93b86c250695abd51648,63.98137810183117
